Sample	Library	Std	Kind	Length	Occurences
*	*	+	se	28	2
*	*	+	se	29	5
*	*	+	se	30	8
*	*	+	se	31	23683
*	*	+	se	32	24137
*	*	+	se	33	23176
*	*	+	se	34	22222
*	*	+	se	35	21849
*	*	+	se	36	21532
*	*	+	se	37	21190
*	*	+	se	38	20163
*	*	+	se	39	18596
*	*	+	se	40	17082
*	*	+	se	41	15358
*	*	+	se	42	13824
*	*	+	se	43	12150
*	*	+	se	44	11498
*	*	+	se	45	10542
*	*	+	se	46	10015
*	*	+	se	47	9503
*	*	+	se	48	8857
*	*	+	se	49	8331
*	*	+	se	50	7348
*	*	+	se	51	6799
*	*	+	se	52	5886
*	*	+	se	53	5595
*	*	+	se	54	4954
*	*	+	se	55	4613
*	*	+	se	56	4269
*	*	+	se	57	4178
*	*	+	se	58	4037
*	*	+	se	59	3653
*	*	+	se	60	3255
*	*	+	se	61	2978
*	*	+	se	62	2791
*	*	+	se	63	2510
*	*	+	se	64	2227
*	*	+	se	65	2152
*	*	+	se	66	2055
*	*	+	se	67	1850
*	*	+	se	68	1761
*	*	+	se	69	1584
*	*	+	se	70	1525
*	*	+	se	71	1516
*	*	+	se	72	1275
*	*	+	se	73	1187
*	*	+	se	74	1129
*	*	+	se	75	1038
*	*	+	se	76	977
*	*	+	se	77	891
*	*	+	se	78	879
*	*	+	se	79	807
*	*	+	se	80	762
*	*	+	se	81	709
*	*	+	se	82	631
*	*	+	se	83	646
*	*	+	se	84	607
*	*	+	se	85	546
*	*	+	se	86	505
*	*	+	se	87	465
*	*	+	se	88	469
*	*	+	se	89	492
*	*	+	se	90	428
*	*	+	se	91	417
*	*	+	se	92	409
*	*	+	se	93	344
*	*	+	se	94	334
*	*	+	se	95	354
*	*	+	se	96	305
*	*	+	se	97	337
*	*	+	se	98	353
*	*	+	se	99	428
*	*	+	se	100	723
*	*	+	se	101	3698
*	*	+	se	102	90
*	*	+	se	103	18
*	*	+	se	104	10
*	*	+	se	106	3
*	*	+	se	107	1
*	*	+	se	108	1
*	*	+	se	110	2
*	*	+	se	112	2
*	*	-	se	28	3
*	*	-	se	29	2
*	*	-	se	30	7
*	*	-	se	31	23580
*	*	-	se	32	23638
*	*	-	se	33	23085
*	*	-	se	34	22470
*	*	-	se	35	22067
*	*	-	se	36	21804
*	*	-	se	37	21214
*	*	-	se	38	20196
*	*	-	se	39	18654
*	*	-	se	40	16647
*	*	-	se	41	15244
*	*	-	se	42	13700
*	*	-	se	43	12118
*	*	-	se	44	11529
*	*	-	se	45	10546
*	*	-	se	46	9924
*	*	-	se	47	9480
*	*	-	se	48	8857
*	*	-	se	49	8049
*	*	-	se	50	7527
*	*	-	se	51	6837
*	*	-	se	52	6097
*	*	-	se	53	5439
*	*	-	se	54	4952
*	*	-	se	55	4830
*	*	-	se	56	4349
*	*	-	se	57	4061
*	*	-	se	58	3864
*	*	-	se	59	3723
*	*	-	se	60	3173
*	*	-	se	61	3085
*	*	-	se	62	2723
*	*	-	se	63	2472
*	*	-	se	64	2231
*	*	-	se	65	2086
*	*	-	se	66	2040
*	*	-	se	67	1883
*	*	-	se	68	1710
*	*	-	se	69	1616
*	*	-	se	70	1492
*	*	-	se	71	1417
*	*	-	se	72	1274
*	*	-	se	73	1181
*	*	-	se	74	1090
*	*	-	se	75	1012
*	*	-	se	76	1016
*	*	-	se	77	893
*	*	-	se	78	900
*	*	-	se	79	819
*	*	-	se	80	794
*	*	-	se	81	715
*	*	-	se	82	672
*	*	-	se	83	625
*	*	-	se	84	560
*	*	-	se	85	498
*	*	-	se	86	497
*	*	-	se	87	492
*	*	-	se	88	478
*	*	-	se	89	442
*	*	-	se	90	440
*	*	-	se	91	414
*	*	-	se	92	354
*	*	-	se	93	376
*	*	-	se	94	344
*	*	-	se	95	340
*	*	-	se	96	322
*	*	-	se	97	339
*	*	-	se	98	342
*	*	-	se	99	448
*	*	-	se	100	733
*	*	-	se	101	3770
*	*	-	se	102	86
*	*	-	se	103	18
*	*	-	se	104	6
*	*	-	se	105	2
*	*	-	se	106	1
*	*	-	se	107	2
*	*	-	se	109	1
*	*	-	se	110	1
*	*	-	se	111	1
*	*	-	se	112	2
*	*	-	se	113	1
*	*	-	se	115	1
