gene_cluster_id	Agnostos_categories!DISC	Agnostos_categories!EU	Agnostos_categories!GU	Agnostos_categories!K	Agnostos_categories!KWP	Agnostos_categories!SINGL	Agnostos_categories!NA	Agnostos_number_of_clusters
GC_00000001	0	0	0.061068702290076333	0.816793893129771	0.11450381679389313	0.007633587786259542	0	16
GC_00000002	0.04938271604938271	0	0.037037037037037035	0.7530864197530864	0.14814814814814814	0.012345679012345678	0	21
GC_00000003	0.01694915254237288	0	0	0.9830508474576272	0	0	0	6
GC_00000004	0.03508771929824561	0	0	0.9122807017543859	0.05263157894736842	0	0	15
GC_00000005	0	0	0.018518518518518517	0.9259259259259259	0.05555555555555555	0	0	12
GC_00000006	0.037037037037037035	0	0.037037037037037035	0.8888888888888888	0	0.037037037037037035	0	14
GC_00000007	0	0	0.12962962962962962	0.8333333333333334	0	0.037037037037037035	0	10
GC_00000008	0	0	0.9807692307692307	0	0.019230769230769232	0	0	2
GC_00000009	0	0	0	1	0	0	0	5
GC_00000010	0.02127659574468085	0	0	0.9787234042553191	0	0	0	6
GC_00000011	0	0	0	1	0	0	0	2
GC_00000012	0.1111111111111111	0	0.027777777777777776	0.8333333333333334	0	0.027777777777777776	0	13
GC_00000013	0	0	0	1	0	0	0	1
GC_00000014	0	0	0.058823529411764705	0.9117647058823529	0.029411764705882353	0	0	12
GC_00000015	0.6774193548387096	0	0.03225806451612903	0.1935483870967742	0	0.0967741935483871	0	10
GC_00000016	0	0	0	0.9354838709677419	0	0.06451612903225806	0	7
GC_00000017	0	0	0	1	0	0	0	2
GC_00000018	0	0	0	1	0	0	0	4
GC_00000019	0	0	0	1	0	0	0	3
GC_00000020	0	0	0	0.8518518518518519	0.1111111111111111	0.037037037037037035	0	9
GC_00000021	0	0	0	1	0	0	0	5
GC_00000022	0.07407407407407407	0	0	0.9259259259259259	0	0	0	6
GC_00000023	0	0	0	1	0	0	0	1
GC_00000024	0	0	0	1	0	0	0	2
GC_00000025	0	0	0	0.9615384615384616	0	0.038461538461538464	0	4
GC_00000026	0	0	0	1	0	0	0	2
GC_00000027	0	0	0	1	0	0	0	4
GC_00000028	0.5	0	0	0.5	0	0	0	2
GC_00000029	0	0	0	1	0	0	0	1
GC_00000030	0	0	0	1	0	0	0	4
GC_00000031	0	0	0	1	0	0	0	2
GC_00000032	0	0	0	1	0	0	0	3
GC_00000033	0	0	0	1	0	0	0	1
GC_00000034	0	0	0	1	0	0	0	2
GC_00000035	0	0	0	1	0	0	0	2
GC_00000036	0	0	0.4782608695652174	0.5217391304347826	0	0	0	4
GC_00000037	0	0	0	1	0	0	0	2
GC_00000038	0	0	0	0.9130434782608695	0.043478260869565216	0.043478260869565216	0	3
GC_00000039	0.043478260869565216	0	0	0.9565217391304348	0	0	0	3
GC_00000040	0.4782608695652174	0	0.2608695652173913	0.2608695652173913	0	0	0	13
GC_00000041	0.045454545454545456	0	0	0.9090909090909091	0.045454545454545456	0	0	5
GC_00000042	0	0	0	1	0	0	0	1
GC_00000043	0	0	1	0	0	0	0	3
GC_00000044	0	0	0	1	0	0	0	3
GC_00000045	0.19047619047619047	0	0	0.6666666666666666	0.09523809523809523	0.047619047619047616	0	11
GC_00000046	0	0	0	1	0	0	0	3
GC_00000047	0	0	0	1	0	0	0	2
GC_00000048	0	0	0.05	0.6	0.35	0	0	4
GC_00000049	0	0	0	0.95	0.05	0	0	3
GC_00000050	0	0	0	1	0	0	0	5
GC_00000051	0	0	0	1	0	0	0	2
GC_00000052	0	0	0	1	0	0	0	1
GC_00000053	0	0	0	1	0	0	0	2
GC_00000054	0	0	0	1	0	0	0	3
GC_00000055	0	0	0	1	0	0	0	1
GC_00000056	0	0	0.05263157894736842	0.8421052631578947	0.10526315789473684	0	0	4
GC_00000057	0	0	0	1	0	0	0	2
GC_00000058	0	0	0	1	0	0	0	2
GC_00000059	0	0	0	1	0	0	0	1
GC_00000060	0	0	0	1	0	0	0	1
GC_00000061	0	0	0	1	0	0	0	1
GC_00000062	0	0	0	1	0	0	0	1
GC_00000063	0	0	0	1	0	0	0	1
GC_00000064	0.05263157894736842	0.05263157894736842	0	0.8947368421052632	0	0	0	5
GC_00000065	1	0	0	0	0	0	0	1
GC_00000066	0	0	1	0	0	0	0	4
GC_00000067	0	0	0	0.9444444444444444	0.05555555555555555	0	0	3
GC_00000068	0	0	0	1	0	0	0	1
GC_00000069	0	0	0	1	0	0	0	1
GC_00000070	0	0	0	1	0	0	0	1
GC_00000071	0	0	0	1	0	0	0	3
GC_00000072	0	0	0	1	0	0	0	3
GC_00000073	0	0	0	0.9411764705882353	0	0.058823529411764705	0	4
GC_00000074	0.4117647058823529	0	0	0.5882352941176471	0	0	0	5
GC_00000075	0	0	1	0	0	0	0	1
GC_00000076	0	0	0	1	0	0	0	1
GC_00000077	0	0	0	1	0	0	0	2
GC_00000078	0	0	0	1	0	0	0	3
GC_00000079	0.058823529411764705	0	0	0.8823529411764706	0.058823529411764705	0	0	5
GC_00000080	0	0	0	1	0	0	0	1
GC_00000081	0	0	0	1	0	0	0	2
GC_00000082	0	0	0	1	0	0	0	1
GC_00000083	0	0	0	1	0	0	0	1
GC_00000084	0	0	0	1	0	0	0	1
GC_00000085	0	0	0	1	0	0	0	1
GC_00000086	0.11764705882352941	0	0	0.7647058823529411	0.11764705882352941	0	0	4
GC_00000087	0	0	0.4117647058823529	0.5294117647058824	0.058823529411764705	0	0	5
GC_00000088	0	0	0	1	0	0	0	3
GC_00000089	0	0	0.9411764705882353	0	0	0.058823529411764705	0	5
GC_00000090	1	0	0	0	0	0	0	1
GC_00000091	0	0	0	1	0	0	0	1
GC_00000092	0.23529411764705882	0	0	0.7647058823529411	0	0	0	3
GC_00000093	0	0	0.35294117647058826	0.35294117647058826	0	0.29411764705882354	0	11
GC_00000094	0.23529411764705882	0	0.17647058823529413	0.5294117647058824	0	0.058823529411764705	0	7
GC_00000095	0	0	0.9375	0	0	0.0625	0	4
GC_00000096	0	0	0	1	0	0	0	1
GC_00000097	0.0625	0	0	0.9375	0	0	0	6
GC_00000098	0	0	0	0.9375	0	0.0625	0	2
GC_00000099	0	0	1	0	0	0	0	1
GC_00000100	0	0	0	1	0	0	0	2
GC_00000101	0	0	1	0	0	0	0	1
GC_00000102	0	0	0	0	1	0	0	4
GC_00000103	0	0	0	1	0	0	0	1
GC_00000104	1	0	0	0	0	0	0	1
GC_00000105	0.8125	0	0	0	0.1875	0	0	3
GC_00000106	0.6875	0	0	0.3125	0	0	0	2
GC_00000107	0	0	0.06666666666666667	0.9333333333333333	0	0	0	5
GC_00000108	0	0	0	0.9333333333333333	0.06666666666666667	0	0	3
GC_00000109	0	0	0.13333333333333333	0.8666666666666667	0	0	0	3
GC_00000110	0	0	0.06666666666666667	0.9333333333333333	0	0	0	3
GC_00000111	0	0	0	1	0	0	0	4
GC_00000112	0	0	0	0.9333333333333333	0	0.06666666666666667	0	5
GC_00000113	0	0	0.8666666666666667	0.06666666666666667	0	0.06666666666666667	0	6
GC_00000114	0	0	0	1	0	0	0	3
GC_00000115	0	0	0	1	0	0	0	1
GC_00000116	0	0	0	1	0	0	0	2
GC_00000117	0	0	0	1	0	0	0	2
GC_00000118	0	0	0	1	0	0	0	1
GC_00000119	0.8571428571428571	0	0	0	0	0.14285714285714285	0	4
GC_00000120	0	0	0	1	0	0	0	1
GC_00000121	0	0	0	0.9285714285714286	0.07142857142857142	0	0	5
GC_00000122	0	0	0	0.8571428571428571	0.14285714285714285	0	0	4
GC_00000123	0	0	0	1	0	0	0	4
GC_00000124	0	0	0	1	0	0	0	1
GC_00000125	0	0	0	0.8571428571428571	0.14285714285714285	0	0	4
GC_00000126	0	0	0	1	0	0	0	4
GC_00000127	0.07142857142857142	0	0	0.9285714285714286	0	0	0	5
GC_00000128	0	0	0	1	0	0	0	1
GC_00000129	0	0	0	1	0	0	0	1
GC_00000130	0.07142857142857142	0	0.8571428571428571	0	0	0.07142857142857142	0	4
GC_00000131	0	0	0	0.9285714285714286	0	0.07142857142857142	0	2
GC_00000132	0	0	1	0	0	0	0	3
GC_00000133	0	0	0	1	0	0	0	3
GC_00000134	0.14285714285714285	0	0	0.8571428571428571	0	0	0	4
GC_00000135	0	0	0	0.8571428571428571	0.14285714285714285	0	0	3
GC_00000136	0	0	1	0	0	0	0	1
GC_00000137	0	0	0	0.9230769230769231	0	0.07692307692307693	0	3
GC_00000138	0.07692307692307693	0	0	0.9230769230769231	0	0	0	4
GC_00000139	0	0	0.07692307692307693	0.9230769230769231	0	0	0	3
GC_00000140	0	0	0	1	0	0	0	1
GC_00000141	0	0	0	1	0	0	0	2
GC_00000142	0	0	0	1	0	0	0	2
GC_00000143	0	0	0	1	0	0	0	3
GC_00000144	0	0	0	1	0	0	0	1
GC_00000145	0	0	0	1	0	0	0	2
GC_00000146	0	0	0	1	0	0	0	4
GC_00000147	0	0	0	0.9230769230769231	0.07692307692307693	0	0	3
GC_00000148	0	0	0	1	0	0	0	3
GC_00000149	0	0	0.8461538461538461	0	0	0.15384615384615385	0	3
GC_00000150	0	0	0	1	0	0	0	1
GC_00000151	0	0	0	0.9230769230769231	0	0.07692307692307693	0	4
GC_00000152	0.07692307692307693	0	0	0.8461538461538461	0.07692307692307693	0	0	3
GC_00000153	0	0	0	1	0	0	0	3
GC_00000154	0	0	0	1	0	0	0	3
GC_00000155	0	0	0	1	0	0	0	3
GC_00000156	0	0	0	0.9230769230769231	0	0.07692307692307693	0	2
GC_00000157	0	0	0	1	0	0	0	1
GC_00000158	0	0	0	1	0	0	0	3
GC_00000159	0	0	0	1	0	0	0	3
GC_00000160	0	0	0	0.9230769230769231	0	0.07692307692307693	0	2
GC_00000161	0	0	0	0.9230769230769231	0	0.07692307692307693	0	2
GC_00000162	0	0	0	1	0	0	0	3
GC_00000163	0	0	0	1	0	0	0	3
GC_00000164	0	0	0	1	0	0	0	4
GC_00000165	0	0	0	0.9230769230769231	0	0.07692307692307693	0	4
GC_00000166	0.07692307692307693	0	0	0.8461538461538461	0.07692307692307693	0	0	3
GC_00000167	0	0	0	1	0	0	0	3
GC_00000168	0	0	0	1	0	0	0	1
GC_00000169	0	0	0	1	0	0	0	1
GC_00000170	0	0	0.9230769230769231	0.07692307692307693	0	0	0	3
GC_00000171	0	0	0	1	0	0	0	3
GC_00000172	0	0	0	1	0	0	0	2
GC_00000173	0.07692307692307693	0	0	0.9230769230769231	0	0	0	3
GC_00000174	0.38461538461538464	0	0	0.6153846153846154	0	0	0	4
GC_00000175	0	0	0	0.9230769230769231	0	0.07692307692307693	0	3
GC_00000176	0.07692307692307693	0	0	0.9230769230769231	0	0	0	3
GC_00000177	0	0	0	1	0	0	0	2
GC_00000178	0.38461538461538464	0	0	0.6153846153846154	0	0	0	4
GC_00000179	0.07692307692307693	0	0	0.9230769230769231	0	0	0	3
GC_00000180	0.9230769230769231	0	0	0.07692307692307693	0	0	0	2
GC_00000181	0	0	0	1	0	0	0	3
GC_00000182	0.3076923076923077	0	0	0.6923076923076923	0	0	0	4
GC_00000183	0	0	0	0.9230769230769231	0	0.07692307692307693	0	3
GC_00000184	0	0	0	0.9230769230769231	0.07692307692307693	0	0	4
GC_00000185	0.07692307692307693	0	0.9230769230769231	0	0	0	0	3
GC_00000186	0	0	0	0.9230769230769231	0.07692307692307693	0	0	3
GC_00000187	0	0	0	1	0	0	0	2
GC_00000188	0	0	0	0.9230769230769231	0	0.07692307692307693	0	2
GC_00000189	0	0	0	0.9230769230769231	0	0.07692307692307693	0	3
GC_00000190	0.23076923076923078	0	0	0.6153846153846154	0	0.15384615384615385	0	4
GC_00000191	0	0	0	1	0	0	0	3
GC_00000192	0.46153846153846156	0	0	0.46153846153846156	0	0.07692307692307693	0	3
GC_00000193	0.5384615384615384	0	0	0.46153846153846156	0	0	0	5
GC_00000194	0	0	0	1	0	0	0	2
GC_00000195	0.07692307692307693	0	0	0.9230769230769231	0	0	0	3
GC_00000196	0	0	0	1	0	0	0	4
GC_00000197	0	0	0.9230769230769231	0	0.07692307692307693	0	0	4
GC_00000198	0.07692307692307693	0	0	0.9230769230769231	0	0	0	3
GC_00000199	0	0	0	1	0	0	0	3
GC_00000200	0.8461538461538461	0	0.07692307692307693	0.07692307692307693	0	0	0	3
GC_00000201	0	0	0	1	0	0	0	3
GC_00000202	0	0	0	1	0	0	0	3
GC_00000203	0	0	0	1	0	0	0	3
GC_00000204	0	0	0	1	0	0	0	2
GC_00000205	0	0	0	0.8461538461538461	0	0.15384615384615385	0	3
GC_00000206	0	0	0	0.9230769230769231	0	0.07692307692307693	0	4
GC_00000207	0	0	0	0.9230769230769231	0	0.07692307692307693	0	2
GC_00000208	0	0	0	0.9230769230769231	0	0.07692307692307693	0	3
GC_00000209	0	0	0	1	0	0	0	4
GC_00000210	0.07692307692307693	0	0.5384615384615384	0.3076923076923077	0.07692307692307693	0	0	4
GC_00000211	0	0	0	0.9230769230769231	0.07692307692307693	0	0	4
GC_00000212	0.7692307692307693	0	0	0	0.23076923076923078	0	0	3
GC_00000213	0	0	0	0.9230769230769231	0	0.07692307692307693	0	3
GC_00000214	0	0	0	1	0	0	0	3
GC_00000215	0	0	0	0.9230769230769231	0	0.07692307692307693	0	2
GC_00000216	0	0	0.07692307692307693	0.9230769230769231	0	0	0	3
GC_00000217	0	0	0	1	0	0	0	5
GC_00000218	0	0	0	0.7692307692307693	0.07692307692307693	0.15384615384615385	0	5
GC_00000219	0	0	0	1	0	0	0	3
GC_00000220	0	0	0	1	0	0	0	2
GC_00000221	0.07692307692307693	0	0	0.8461538461538461	0.07692307692307693	0	0	3
GC_00000222	0	0	0	1	0	0	0	2
GC_00000223	0.9230769230769231	0	0	0.07692307692307693	0	0	0	3
GC_00000224	0	0	0	1	0	0	0	5
GC_00000225	0	0	0	1	0	0	0	3
GC_00000226	0	0	0	1	0	0	0	1
GC_00000227	0	0	1	0	0	0	0	1
GC_00000228	0	0	0	1	0	0	0	1
GC_00000229	0	0	0	1	0	0	0	1
GC_00000230	0	0	0	1	0	0	0	1
GC_00000231	0	0	0	1	0	0	0	1
GC_00000232	0	0	0	1	0	0	0	1
GC_00000233	0	0	1	0	0	0	0	2
GC_00000234	0	0	0	1	0	0	0	1
GC_00000235	0	0	0	1	0	0	0	1
GC_00000236	0	0	0	1	0	0	0	2
GC_00000237	0	0	0	1	0	0	0	1
GC_00000238	0	0	0	1	0	0	0	2
GC_00000239	0	0	0	1	0	0	0	1
GC_00000240	0	0	0	1	0	0	0	1
GC_00000241	0	0	0	1	0	0	0	2
GC_00000242	0.4166666666666667	0	0	0.5833333333333334	0	0	0	2
GC_00000243	0	0	0	1	0	0	0	1
GC_00000244	0	0	0	1	0	0	0	1
GC_00000245	0	0	0	1	0	0	0	1
GC_00000246	0	0	0	1	0	0	0	1
GC_00000247	0	0	0	1	0	0	0	1
GC_00000248	0.4166666666666667	0	0	0.5833333333333334	0	0	0	2
GC_00000249	0	0	0	1	0	0	0	1
GC_00000250	0	0	0	1	0	0	0	2
GC_00000251	0	0	0	1	0	0	0	1
GC_00000252	0	0	0	1	0	0	0	1
GC_00000253	0	0	0	1	0	0	0	1
GC_00000254	0	0	0	1	0	0	0	1
GC_00000255	1	0	0	0	0	0	0	1
GC_00000256	1	0	0	0	0	0	0	1
GC_00000257	0	0	0	1	0	0	0	1
GC_00000258	0	0	0	1	0	0	0	1
GC_00000259	0	0	0	1	0	0	0	2
GC_00000260	0	0	0	1	0	0	0	1
GC_00000261	0	0	0	1	0	0	0	1
GC_00000262	0	0	0	1	0	0	0	1
GC_00000263	0	0	0	1	0	0	0	1
GC_00000264	0	0	0	1	0	0	0	1
GC_00000265	0	0	0	1	0	0	0	1
GC_00000266	0	0	0	1	0	0	0	3
GC_00000267	0	0	0	1	0	0	0	1
GC_00000268	0	0	0	1	0	0	0	1
GC_00000269	0.5833333333333334	0	0	0.4166666666666667	0	0	0	2
GC_00000270	0	0	0	1	0	0	0	1
GC_00000271	0	0	0	1	0	0	0	1
GC_00000272	0	0	0	1	0	0	0	1
GC_00000273	0	0	0	1	0	0	0	1
GC_00000274	0	0	0	1	0	0	0	1
GC_00000275	0	0	0	1	0	0	0	1
GC_00000276	0	0	0	1	0	0	0	1
GC_00000277	0	0	0	1	0	0	0	1
GC_00000278	0	0	0	1	0	0	0	1
GC_00000279	1	0	0	0	0	0	0	1
GC_00000280	0	0	1	0	0	0	0	1
GC_00000281	0	0	1	0	0	0	0	1
GC_00000282	0.4166666666666667	0	0	0.5833333333333334	0	0	0	2
GC_00000283	0	0	0	1	0	0	0	1
GC_00000284	0	0	0	1	0	0	0	1
GC_00000285	0	0	0	1	0	0	0	1
GC_00000286	0	0	0	1	0	0	0	1
GC_00000287	0	0	0	1	0	0	0	1
GC_00000288	0	0	0	1	0	0	0	1
GC_00000289	0	0	0	1	0	0	0	2
GC_00000290	0	0	0	1	0	0	0	2
GC_00000291	0	0	1	0	0	0	0	1
GC_00000292	0	0	0	1	0	0	0	2
GC_00000293	0	0	0	1	0	0	0	1
GC_00000294	0	0	0	1	0	0	0	2
GC_00000295	0	0	0	1	0	0	0	1
GC_00000296	0	0	1	0	0	0	0	1
GC_00000297	0	0	0	1	0	0	0	1
GC_00000298	0	0	0	1	0	0	0	1
GC_00000299	0	0	0	1	0	0	0	1
GC_00000300	0	0	0	1	0	0	0	2
GC_00000301	0	0	0	1	0	0	0	2
GC_00000302	0	0	1	0	0	0	0	2
GC_00000303	0	0	0	1	0	0	0	1
GC_00000304	0	0	0	1	0	0	0	2
GC_00000305	0	0	0	1	0	0	0	1
GC_00000306	0	0	0	1	0	0	0	1
GC_00000307	0	0	0	1	0	0	0	1
GC_00000308	0	0	0	1	0	0	0	2
GC_00000309	0	0	0	1	0	0	0	1
GC_00000310	0	0	0	1	0	0	0	1
GC_00000311	0	0	0	1	0	0	0	2
GC_00000312	0	0	0	1	0	0	0	1
GC_00000313	0	0	0	1	0	0	0	1
GC_00000314	0	0	0	1	0	0	0	1
GC_00000315	0	0	0	1	0	0	0	1
GC_00000316	0	0	0	1	0	0	0	1
GC_00000317	0.4166666666666667	0	0	0.5833333333333334	0	0	0	2
GC_00000318	0	0	0	1	0	0	0	1
GC_00000319	0	0	0	1	0	0	0	1
GC_00000320	0	0	0	1	0	0	0	1
GC_00000321	0	0	0	1	0	0	0	1
GC_00000322	0	0	0	1	0	0	0	1
GC_00000323	0	0	1	0	0	0	0	1
GC_00000324	0	0	1	0	0	0	0	2
GC_00000325	0	0	0	1	0	0	0	1
GC_00000326	0	0	0	1	0	0	0	1
GC_00000327	0	0	0	1	0	0	0	1
GC_00000328	0	0	0	1	0	0	0	1
GC_00000329	0	0	0	1	0	0	0	1
GC_00000330	0	0	0	1	0	0	0	1
GC_00000331	0	0	1	0	0	0	0	2
GC_00000332	0	0	0	1	0	0	0	1
GC_00000333	0	0	0	1	0	0	0	1
GC_00000334	0	0	1	0	0	0	0	1
GC_00000335	0	0	0	1	0	0	0	1
GC_00000336	0	0	0	1	0	0	0	1
GC_00000337	0	0	0	1	0	0	0	1
GC_00000338	0	0	0	1	0	0	0	1
GC_00000339	0	0	0	1	0	0	0	2
GC_00000340	0	0	0	1	0	0	0	1
GC_00000341	0	0	0	1	0	0	0	1
GC_00000342	0	0	0	0	1	0	0	1
GC_00000343	0	0	0	1	0	0	0	1
GC_00000344	0	0	0	1	0	0	0	1
GC_00000345	0	0	0	1	0	0	0	1
GC_00000346	0	0	0	1	0	0	0	1
GC_00000347	0	0	0	1	0	0	0	1
GC_00000348	0	0	0	1	0	0	0	1
GC_00000349	0.5833333333333334	0	0	0.4166666666666667	0	0	0	2
GC_00000350	0	0	0	1	0	0	0	1
GC_00000351	0	0	0	0	1	0	0	1
GC_00000352	0	0	0	1	0	0	0	2
GC_00000353	0	0	1	0	0	0	0	1
GC_00000354	0	0	0	1	0	0	0	4
GC_00000355	0	0	0	1	0	0	0	2
GC_00000356	0	0	0	1	0	0	0	2
GC_00000357	0	0	1	0	0	0	0	1
GC_00000358	0	0	1	0	0	0	0	1
GC_00000359	0	0	0	1	0	0	0	2
GC_00000360	0	0	0	1	0	0	0	1
GC_00000361	0	0	1	0	0	0	0	2
GC_00000362	0	0	0	1	0	0	0	2
GC_00000363	0	0	1	0	0	0	0	1
GC_00000364	0	0	0	1	0	0	0	2
GC_00000365	0	0	0	1	0	0	0	1
GC_00000366	0	0	0	1	0	0	0	1
GC_00000367	1	0	0	0	0	0	0	1
GC_00000368	0	0	0	1	0	0	0	2
GC_00000369	0	0	0	1	0	0	0	1
GC_00000370	0	0	0	1	0	0	0	3
GC_00000371	0	0	0	1	0	0	0	2
GC_00000372	0	0	0	1	0	0	0	1
GC_00000373	0.4166666666666667	0	0	0.5833333333333334	0	0	0	2
GC_00000374	0	0	0	1	0	0	0	2
GC_00000375	0	0	0	1	0	0	0	1
GC_00000376	0	0	1	0	0	0	0	1
GC_00000377	1	0	0	0	0	0	0	1
GC_00000378	0	0	0	1	0	0	0	1
GC_00000379	0	0	1	0	0	0	0	1
GC_00000380	0	0	0	1	0	0	0	2
GC_00000381	0	0	0	1	0	0	0	1
GC_00000382	0	0	0	1	0	0	0	1
GC_00000383	1	0	0	0	0	0	0	1
GC_00000384	0	0	0	1	0	0	0	2
GC_00000385	0	0	0	1	0	0	0	2
GC_00000386	0	0	1	0	0	0	0	1
GC_00000387	0	0	0	1	0	0	0	1
GC_00000388	0	0	0	1	0	0	0	2
GC_00000389	0	0	1	0	0	0	0	1
GC_00000390	0	0	0	1	0	0	0	1
GC_00000391	0	0	0	1	0	0	0	1
GC_00000392	0	0	0	1	0	0	0	1
GC_00000393	0	0	0	1	0	0	0	1
GC_00000394	0	0	0	1	0	0	0	2
GC_00000395	0.4166666666666667	0	0	0.5833333333333334	0	0	0	2
GC_00000396	0	0	0	1	0	0	0	1
GC_00000397	0	0	0	1	0	0	0	1
GC_00000398	1	0	0	0	0	0	0	1
GC_00000399	0	0	0	1	0	0	0	1
GC_00000400	0	0	0	1	0	0	0	2
GC_00000401	0	0	0	1	0	0	0	2
GC_00000402	0	0	0	1	0	0	0	1
GC_00000403	0	0	1	0	0	0	0	1
GC_00000404	0	0	0	1	0	0	0	1
GC_00000405	0	0	1	0	0	0	0	2
GC_00000406	0	0	0	1	0	0	0	2
GC_00000407	0	0	0	1	0	0	0	1
GC_00000408	0	0	1	0	0	0	0	1
GC_00000409	0	0	0	1	0	0	0	1
GC_00000410	0	0	0	1	0	0	0	2
GC_00000411	0.5833333333333334	0	0	0.4166666666666667	0	0	0	3
GC_00000412	0	0	0	1	0	0	0	1
GC_00000413	0	0	1	0	0	0	0	2
GC_00000414	0	0	0	1	0	0	0	2
GC_00000415	0	0	0	1	0	0	0	2
GC_00000416	0	0	0	1	0	0	0	1
GC_00000417	0	0	0	1	0	0	0	1
GC_00000418	0	0	0	1	0	0	0	2
GC_00000419	0	0	0	1	0	0	0	1
GC_00000420	0	0	0	1	0	0	0	1
GC_00000421	0	0	0	1	0	0	0	1
GC_00000422	0	0	0	1	0	0	0	1
GC_00000423	0	0	0	1	0	0	0	2
GC_00000424	0	0	0	1	0	0	0	1
GC_00000425	0	0	0	1	0	0	0	2
GC_00000426	0	0	0	1	0	0	0	2
GC_00000427	0	0	0	1	0	0	0	2
GC_00000428	0	0	0	1	0	0	0	1
GC_00000429	0.4166666666666667	0	0	0.5833333333333334	0	0	0	2
GC_00000430	0	0	0	1	0	0	0	1
GC_00000431	0	0	0	1	0	0	0	2
GC_00000432	0	0	0	1	0	0	0	1
GC_00000433	0	0	0	1	0	0	0	2
GC_00000434	0	0	0	1	0	0	0	2
GC_00000435	0.3333333333333333	0	0.6666666666666666	0	0	0	0	3
GC_00000436	0	0	0	1	0	0	0	1
GC_00000437	0	0	1	0	0	0	0	1
GC_00000438	0	0	1	0	0	0	0	1
GC_00000439	0	0	0	1	0	0	0	1
GC_00000440	0	0	0	1	0	0	0	1
GC_00000441	0	0	0	1	0	0	0	1
GC_00000442	0	0	0	1	0	0	0	1
GC_00000443	0	0	0	1	0	0	0	1
GC_00000444	0	0	0	1	0	0	0	2
GC_00000445	0	0	0	1	0	0	0	1
GC_00000446	0	0	1	0	0	0	0	1
GC_00000447	0	0	0	1	0	0	0	1
GC_00000448	0	0	0	1	0	0	0	1
GC_00000449	0	0	0	1	0	0	0	2
GC_00000450	0	0	0	1	0	0	0	1
GC_00000451	0	0	0	1	0	0	0	1
GC_00000452	0	0	0	1	0	0	0	2
GC_00000453	0	0	0	1	0	0	0	1
GC_00000454	0	0	0	1	0	0	0	2
GC_00000455	0	0	0	1	0	0	0	1
GC_00000456	0	0	0	1	0	0	0	1
GC_00000457	0	0	0	1	0	0	0	1
GC_00000458	0	0	0	1	0	0	0	2
GC_00000459	0	0	0	1	0	0	0	1
GC_00000460	0	0	0	1	0	0	0	1
GC_00000461	0	0	1	0	0	0	0	1
GC_00000462	0	0	1	0	0	0	0	1
GC_00000463	0	0	0	1	0	0	0	1
GC_00000464	0	0	0	1	0	0	0	1
GC_00000465	0	0	0	1	0	0	0	2
GC_00000466	0	0	1	0	0	0	0	1
GC_00000467	0	0	0	1	0	0	0	1
GC_00000468	0	0	1	0	0	0	0	1
GC_00000469	0	0	0	1	0	0	0	2
GC_00000470	0	0	1	0	0	0	0	2
GC_00000471	0	0	0	1	0	0	0	1
GC_00000472	0	0	0	1	0	0	0	1
GC_00000473	0	0	0	1	0	0	0	2
GC_00000474	0	0	0	1	0	0	0	1
GC_00000475	0	0	0	1	0	0	0	1
GC_00000476	0	0	0	1	0	0	0	1
GC_00000477	0	0	0	1	0	0	0	3
GC_00000478	0.5833333333333334	0	0.4166666666666667	0	0	0	0	2
GC_00000479	0	0	0	1	0	0	0	1
GC_00000480	0	0	0	1	0	0	0	1
GC_00000481	0	0	0	1	0	0	0	2
GC_00000482	0	0	0	1	0	0	0	1
GC_00000483	0	0	0	1	0	0	0	2
GC_00000484	0	0	0	1	0	0	0	1
GC_00000485	0	0	0	1	0	0	0	1
GC_00000486	0	0	1	0	0	0	0	1
GC_00000487	0	0	0	1	0	0	0	2
GC_00000488	0	0	1	0	0	0	0	2
GC_00000489	0	0	0	1	0	0	0	1
GC_00000490	0	0	0	1	0	0	0	1
